,OrderNo,OrderDate,Month,Year,CustomerID,Revenue,Seq,First Touch Channel,Channel_Type
27438,300036444970,2022-10-20,10,12,36a64e485d43dd61fcc7452b10c85e56,18999.0,22,Direct,Organic
148783,300040220388,2022-12-24,12,12,89a07bfb31529c58eacd629c1eb93911,85000.0,24,Organic Search,Organic
333498,300033712858,2022-10-07,10,12,10eb9d97d25f6f2d558895e9f715da9b,60.0,22,Paid Search,Paid
342908,300034958236,2022-10-06,10,12,4bd045c0e57aad5858c9e6bb764b814b,379.0,22,Organic Search,Organic
121959,TC300035929551,2022-10-15,10,12,a29ba4468f61a5cead483f04f337d0e9,79900.0,22,Direct,Organic
333122,300035712780,2022-10-11,10,12,bc9f440ab02f87e4ef2b53eecce1ef86,52990.0,22,Direct,Organic
235932,300032553507,2022-09-03,9,12,011e22f0f4c34af2faaafe6ceebdc626,1319.0,21,Paid Search,Paid
487404,300039329620,2022-12-05,12,12,092bed9e198e20df9fd489fc6cdc6d34,42090.0,24,Paid Search,Paid
298271,300040320698,2022-12-26,12,12,0dc8b9e4ba66681600e8fc5001127b2b,2499.0,24,Organic Search,Organic
400985,300038947399,2022-11-28,11,12,85e5dd98df2a6e1008e7e4264a73850f,540.0,23,Paid Search,Paid
264385,TC300040544797,2022-12-29,12,12,cdf27779040d436b278f08d24fd45e83,19240.0,24,Direct,Organic
120611,TC300027227122,2022-05-29,5,12,41dd3ee3bbb683a17e7e9c670ec9713f,67990.0,17,Internal,Organic
396255,300040133777,2022-12-23,12,12,3eff48ed5cc519fe26ded93626ddfa52,18891.0,24,Paid Search,Paid
373165,300028798022,2022-06-27,6,12,4d10c7b2a022a9421ecb38a53ae2b15e,27900.0,18,Organic Search,Organic
417891,TC300039188572,2022-12-02,12,12,abca27ba03b2cd61e74c09286bf9c75b,18524.05,24,Internal,Organic
53084,300029824025,2022-07-17,7,12,7a0caec25fa36b14c03c8e9adaca64e8,60.0,19,Organic Search,Organic
743165,300046646196,2023-04-28,4,24,80bc865dfc90f4571048925109e189be,30.0,28,Affiliate,Paid
126619,300038840472,2022-11-26,11,12,0850df3cf6a6095bf61fb99edf90395c,6700.0,23,Paid Search,Paid
274547,300029294029,2022-07-11,7,12,8e67dc72c9f07991035676fdb76ed580,28900.0,19,Organic Search,Organic
5416,TC300036730060,2022-10-23,10,12,8a8002837c06f64d2b02452759917fd1,7249.0,22,Direct,Organic
775382,TC300043506857,2023-02-25,2,24,5f6f094f3c3969a78591fea4d8182309,500.0,26,Direct,Organic
327818,300030027072,2022-07-21,7,12,6788cc863d7d2c400186cac0158d220f,2599.0,19,Direct,Organic
673188,300043838178,2023-03-12,3,24,1c0576597a54118c54cf9bc15d6aa041,8779.0,27,Paid Search,Paid
259253,TC300032894580,2022-09-10,9,12,eaf81f0e0f2baa561504be0415b6b287,79900.0,21,Direct,Organic
672885,300044189011,2023-03-12,3,24,f1f122e8ae174ab70ad1e7c2eb4ef2cc,30.0,27,Direct,Organic
882849,300043413649,2023-02-24,2,24,98df235336a093b36d3b86f28890a38b,299.0,26,Paid Search,Paid
723269,TC300045951654,2023-04-17,4,24,a5faadabdbbc9c5bd8858aaaa4d90b75,998.0,28,Organic Search,Organic
631886,TC300046242864,2023-04-22,4,24,3e71cc605ada3cd6efe60beb8f02059d,3999.0,28,Direct,Organic
91814,300028065948,2022-06-18,6,12,c7fd61872d1c0d03f15bc6fdbb35c87b,47490.0,18,Paid Search,Paid
415368,300037354287,2022-11-01,11,12,45a36992453dde718457576cc2bcfb33,10990.0,23,Paid Search,Paid
8142,TC300036597188,2022-10-22,10,12,c2b90fb93208f5af394480be1a02851e,749.0,22,Direct,Organic
567831,300022507275,2022-02-14,2,12,ff7ddca10a38c9527eba0c5cc5bb22f3,9305.0,14,Organic Search,Organic
217532,300037561570,2022-11-06,11,12,7db53792cb229d326b38ae36d01ecea3,5749.0,23,Organic Search,Organic
192317,TC300026753627,2022-05-20,5,12,df998c4812da335f06f753eef6101a1f,65990.0,17,Affiliate,Paid
583594,300020860652,2022-01-17,1,12,772879b38323b02f3f842d37e1c97fa6,69990.0,13,Organic Search,Organic
767094,300046577932,2023-04-27,4,24,547bace47170c99f981c6977f51b9892,60.0,28,Organic Search,Organic
500835,TC300032462236,2022-09-07,9,12,61e6472f2379d82a4b29fe7d3095bf1d,28999.0,21,Direct,Organic
545243,300022626224,2022-02-12,2,12,a1744e87840709fafeffbf3989adcd22,1179.0,14,Paid Search,Paid
900896,300043319001,2023-02-22,2,24,a2de2807a09b2fa601f11414fad5bfcd,1075.0,26,Direct,Organic
342494,300027319296,2022-05-30,5,12,466739912b0409cb7a96fe1bba30fbad,32990.0,17,Organic Search,Organic
142820,300032644645,2022-09-04,9,12,99f1cf7935bde30332f73bdb660bf114,12710.0,21,Organic Search,Organic
97959,300040672277,2022-12-31,12,12,38b514461522a14428ff771f29841910,998.0,24,Affiliate,Paid
420590,300024231851,2022-03-30,3,12,64595f39a1b8f4348a67d9a0ca4a7d4c,1805.0,15,Organic Search,Organic
790229,300046511704,2023-04-26,4,24,c7d8ebcc4db0a4babf18e60125be6caa,4088.0,28,Organic Search,Organic
18781,300033795472,2022-10-16,10,12,96c8dd808b54c00f8eca28b0c3395ab0,1899.0,22,Organic Search,Organic
543075,TC300023652169,2022-03-15,3,12,77c0bc7184d1dc6b75fad974ed6a74d7,6299.1,15,Organic Search,Organic
874087,300042667114,2023-02-08,2,24,c585c85a23dfebe34a598953613fee49,1296.0,26,Organic Search,Organic
813323,TC300045372819,2023-04-06,4,24,0366ad13b906893e77828ccc453a6531,13999.0,28,Internal,Organic
425609,300025443575,2022-04-27,4,12,4e58f82d519fed00fbd6dfc8a8e5842e,3455.0,16,Direct,Organic
114921,300033733737,2022-09-24,9,12,375f85a181e94ebce5905f7d10db391a,60990.0,21,Organic Search,Organic
643042,300048015244,2023-05-21,5,24,c0fb210d4b853fed36c9b5b503b3d326,2490.0,29,Paid Search,Paid
84223,TC300027624792,2022-06-05,6,12,389a87936e991afd7ef061f15fae37a8,1881.0,18,Direct,Organic
168199,300024999696,2022-04-17,4,12,a0dfda8699c430eb32e721aace37f922,29990.0,16,Paid Search,Paid
164367,300024107874,2022-03-27,3,12,35d3642fbab23a0c4430cbafebe34ff0,21599.1,15,Affiliate,Paid
628724,300041753181,2023-01-26,1,24,65962a341a633a2b29e251337959bcb2,960.0,25,Paid Search,Paid
247520,300025692660,2022-05-02,5,12,6dcb6035b45e46b34b312f4753408a71,2299.0,17,Paid Search,Paid
819642,300044053308,2023-03-09,3,24,75b92062246d2fbeea70d66a9d6cda87,129.0,27,Internal,Organic
220498,300032905198,2022-09-17,9,12,9b83455184b5367d0e7dbf11b7fa329e,6183.0,21,Paid Search,Paid
83877,TC300027503561,2022-06-05,6,12,fab016934846c28d99ebb57aae416752,1999.0,18,Direct,Organic
535029,300037990914,2022-11-15,11,12,41b3041c97ca7ff52cc0939b748aa2ad,30.0,23,Affiliate,Paid
877688,300041602801,2023-02-20,2,24,2bb1b4d2e8f99d7f738b1c212dc105e0,37080.0,26,Paid Search,Paid
679244,300046214254,2023-04-21,4,24,fd5a73929a950a0a34dd240bd4abf828,1570.0,28,Organic Search,Organic
233585,300025505647,2022-04-29,4,12,4ec763c87ac21af28581dd6e0956f954,8399.0,16,Paid Search,Paid
641764,300047977826,2023-05-21,5,24,047591bbf8887b3d6fe01b94bcd5b370,6990.0,29,Paid Search,Paid
181542,300026680410,2022-05-21,5,12,e69de920ccf080d6c6a36861228d8752,18999.0,17,Paid Search,Paid
497401,300033040144,2022-09-13,9,12,11e294edcdfc3017e9ca905d3d61f532,68100.0,21,Organic Search,Organic
623873,300021719173,2022-01-11,1,12,f228c45ade83ed90832bbb52d2164fb7,12242.45,13,Organic Search,Organic
637984,300044654369,2023-03-22,3,24,9c98579bdd4e987f23b9d983262e68ba,249.0,27,Direct,Organic
36320,300025761641,2022-05-03,5,12,f372496fe3b5893f490d20a203841815,19124.1,17,Paid Search,Paid
338511,TC300028499193,2022-06-21,6,12,4e1fd2bf121eb0c4a04845330f78abd0,10341.0,18,Direct,Organic
206576,300026661883,2022-05-19,5,12,aec6e34fbd5e98177041c60bd1a6e646,4499.1,17,Affiliate,Paid
721006,300048711350,2023-05-31,5,24,afcfe714f07cd21e998125cbcd7dc5db,599.0,29,Organic Search,Organic
520026,300039040669,2022-11-29,11,12,7f23963254a39cb3bdecab0b28b974e4,1790.0,23,Organic Search,Organic
181675,300026798487,2022-05-21,5,12,b62a437b27bda0838157a20d5cf2c46e,24999.0,17,Organic Search,Organic
41671,300038919546,2022-11-27,11,12,0f4f67feb13788c5b326d4fc7da31b7d,360.0,23,Loyalty,Unknown
811888,300048693139,2023-05-30,5,24,95f5c6704b4338cc049205385cc5f910,11345.0,29,Organic Search,Organic
152499,300031336201,2022-08-11,8,12,2c2c4c310e102605547ef55f6ef55923,46990.0,20,Direct,Organic
472459,300038392759,2022-11-21,11,12,0d66bcd492db8fd0240982451a4ac20e,450.0,23,Paid Search,Paid
543984,300023647514,2022-03-15,3,12,f8c24835c897ea2f36ddc5b692f68b90,1499.0,15,Organic Search,Organic
170371,TC300036148893,2022-10-18,10,12,a434fb7cabf24d5dc2d58b8bdb927711,76.0,22,Direct,Organic
568900,300023190743,2022-03-04,3,12,4ae0c4dc1ac39852eeddb7ed75f8ceb0,13290.5,15,Organic Search,Organic
804258,300041585003,2023-01-20,1,24,9419e8fe9db7d8ec69c6b3f800367d81,20990.0,25,Direct,Organic
336017,300027511323,2022-06-03,6,12,9d9f73dfb83cff14ccef8119a08a2943,1699.0,18,Paid Search,Paid
787236,300041916576,2023-01-24,1,24,8f13b0c29ae907e7d698801053fcbc3a,7290.0,25,Organic Search,Organic
564733,300024422490,2022-04-05,4,12,e70f90b7be5b4b904ad1785cd75ad280,14755.0,16,Direct,Organic
571545,300021950162,2022-01-25,1,12,3693578e4b5c73ede0bab40afd910296,20910.0,13,Organic Search,Organic
